wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-8.wav|What do you want to know?
wavs/Kim Kitsuragi-LAIR  DRAINAGE PIPE-34.wav|Good work.. Shall we?
wavs/Kim Kitsuragi-LAIR  DRAINAGE PIPE-41.wav|...and it's right here! A maintenance door.
wavs/Kim Kitsuragi-LAIR  DRAINAGE PIPE-43.wav|I see. Another stop on your crusade against narcomania. I was hoping we were in pursuit of a murder suspect...
wavs/Kim Kitsuragi-LAIR ORB  wiresinglass-10.wav|So it is. I think these used to form a single system, slotted in the wall.
wavs/Kim Kitsuragi-LAIR ORB  wiresinglass-15.wav|The rest of the building seems to have been picked clean.
wavs/Kim Kitsuragi-LAIR ORB  wiresinglass-16.wav|These? No. These are old filament memories. I hope you're not expecting to find that device here, you will be disappointed.
wavs/Kim Kitsuragi-LAIR  Door to Outside-2.wav|Detective, aren't you forgetting something?
wavs/Kim Kitsuragi-LAIR  Door to Outside-6.wav|Her journal? We should probably leaf through it. Might learn something useful.
wavs/Kim Kitsuragi-LAIR  Door to Outside-7.wav|We still need to investigate the scene. Remember?
wavs/Kim Kitsuragi-LAIR  Door to Outside-12.wav|Let's just do it, shall we?
wavs/Kim Kitsuragi-LAIR  Door to Outside-16.wav|We still have to deal with her.... Not pleasant, I know. But we can't leave her like that. And we have to investigate the scene, too.
wavs/Kim Kitsuragi-LAIR  Door to Outside-20.wav|Be that as it may, it doesn't change the fact. We have a duty to her. Let's see it through.. After you.
wavs/Kim Kitsuragi-LAIR  Door to Outside-21.wav|After you.
wavs/Kim Kitsuragi-LAIR  Door to Stairwell-3.wav|We still have to deal with her.... Not pleasant, I know. But we can't leave her like that. And we have to investigate the scene, too.
wavs/Kim Kitsuragi-LAIR  Door to Stairwell-4.wav|Be that as it may, it doesn't change the fact. We have a duty to her. Let's see it through.. After you.
wavs/Kim Kitsuragi-LAIR  Door to Stairwell-6.wav|Let's just do it, shall we?
wavs/Kim Kitsuragi-LAIR  Door to Stairwell-8.wav|Her journal? We should probably leaf through it. Might learn something useful.
wavs/Kim Kitsuragi-LAIR  Door to Stairwell-9.wav|We still need to investigate the scene. Remember?
wavs/Kim Kitsuragi-LAIR  Door to Stairwell-17.wav|Detective, aren't you forgetting something?
wavs/Kim Kitsuragi-LAIR  Door to Stairwell-21.wav|After you.
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-66.wav|There was a murder in Martinaise.. She might be a suspect. We would appreciate your help.
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-149.wav|Well, if you're not in the hostel in the morning, I'll know where to find you.. Here. In a shack.
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-169.wav|Riddles,. Fits with the general ambience here.
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-220.wav|That's for the police to find out.. Right then, please answer each question to the best of your ability. I'm sure we have a few.
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-260.wav|I wouldn't worry about that, ma'am. We're persistent.
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-270.wav|We're not here to cause any trouble, madam.
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-294.wav|You're not. No one around here considers us an ill omen. People would have told us.
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-401.wav|So they don't hold services there anymore? The Ecclesiastes?
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-484.wav|I see, ma'am.. I hope you don't mind if we look around anyway.
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-501.wav|In fact, he does.
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-511.wav|That's an excellent question, ma'am.
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-528.wav|Let's go mail it.
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-600.wav|A bullet?
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-615.wav|Yes. That is a downside of having a 130 kilowatt engine.. It lets the bad guys know when you're coming.
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-622.wav|Did she talk to you much during her last stay?
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-707.wav|We really should focus on some actual leads.... Negotiating real estate deals isn't our main thing.
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-730.wav|I could use a breather before another runny day begins...
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-731.wav|I could use a breather, it's been another track and field day,
wavs/Kim Kitsuragi-VILLAGE  WASHERWOMAN-762.wav|You didn't put it there, did you? She did.
wavs/Kim Kitsuragi-ICE  AFTER CRYING KIM-2.wav|Do you, uh, want to talk about what just happened?
wavs/Kim Kitsuragi-ICE  AFTER CRYING KIM-5.wav|Good. Controlling your emotions sounds good.
wavs/Kim Kitsuragi-ICE  AFTER CRYING KIM-8.wav|That may be so, but such is Revachol and this is what is expected of us, in Revachol.
wavs/Kim Kitsuragi-ICE  AFTER CRYING KIM-14.wav|Yes. A clever ruse. I see.
wavs/Kim Kitsuragi-ICE  AFTER CRYING KIM-16.wav|In the future, could you please refrain from emoting too much on duty? The quasi-legal status of the RCM means we need to project strength twice as consistently as any other police force in the world.
wavs/alternative-0-Kim Kitsuragi-ICE  AFTER CRYING KIM-16-0.wav|Even so, in the future, could you please refrain from emoting too much on duty? The quasi-legal status of the RCM means we need to project strength twice as consistently as any other police force in the world.
wavs/Kim Kitsuragi-ICE  AFTER CRYING KIM-19.wav|So you're saying you didn't break down in tears just now and nearly tear your shirt off?
wavs/Kim Kitsuragi-ICE  AFTER CRYING KIM-26.wav|Not when projecting strength, then it's just weakness.
wavs/Kim Kitsuragi-ICE  AFTER CRYING KIM-27.wav|Glad to hear it was 'minor.' Can you go on?
wavs/Kim Kitsuragi-ICE  AFTER CRYING KIM-29.wav|That's us. Revachol Citizens Militia. The police.
wavs/Kim Kitsuragi-ICE  AFTER CRYING KIM-44.wav|So, what do you think happened?
wavs/Kim Kitsuragi-ICE  AFTER CRYING KIM-45.wav|Normally I'm opposed to discussing one's feelings, especially on-duty, but I think this is an exceptional case...
wavs/Kim Kitsuragi-ICE  AFTER CRYING KIM-48.wav|Okay, right. Enough of this.
wavs/Kim Kitsuragi-ICE  AFTER CRYING KIM-52.wav|Yes, I've definitely never seen you cry before, nor lent you my handkerchief to dry your tears.
wavs/Kim Kitsuragi-ICE  NOID-353.wav|Yes. You really came through. For the hard core underground.. How come?
wavs/Kim Kitsuragi-ICE  NOID-375.wav|Okay.
wavs/Kim Kitsuragi-ICE  TENT FLAP-8.wav|I'm sure you will feel right at home. I'll keep watch.
wavs/Kim Kitsuragi-ICE  ACELE AND ASSOCIATES-8.wav|Tore it to pieces.
wavs/Kim Kitsuragi-ICE  ACELE AND ASSOCIATES-53.wav|Unfortunately, I can confirm that.
wavs/Kim Kitsuragi-ICE  ACELE AND ASSOCIATES-63.wav|I understand. People are usually afraid to do things if others aren't already doing them. Dancing makes you dance like sneezing makes you sneeze. Or yawning makes you...
wavs/Kim Kitsuragi-ICE  ACELE AND ASSOCIATES-64.wav|Yes, I suppose we did.
wavs/Kim Kitsuragi-ICE  ACELE AND ASSOCIATES-65.wav|Anyway...
wavs/Kim Kitsuragi-ICE  ACELE AND ASSOCIATES-73.wav|That would depend on the circumstances.
wavs/Kim Kitsuragi-ICE  ACELE AND ASSOCIATES-121.wav|Yeah. Drugs. Shit. Fuck. We don't care.
wavs/Kim Kitsuragi-ICE  ACELE ON ICE-110.wav|Take this, you're cold.
wavs/Kim Kitsuragi-ICE  ACELE ON ICE-114.wav|It's okay.
wavs/Kim Kitsuragi-ICE  ACELE ON ICE-193.wav|We're Jamrock. Sort of. Martinaise is called North Jamrock sometimes. Jamrock is also a ghetto, only smaller than Faubourg.
wavs/Kim Kitsuragi-ICE  ACELE ON ICE-196.wav|Khm.... Faubourg, not In Faubourg, is a massive banlieue south of Jamrock Quarter. It is the largest ghetto in Revachol, possibly the world.
wavs/Kim Kitsuragi-ICE  ACELE ON ICE-304.wav|Agreed,
wavs/Kim Kitsuragi-ICE  ACELE CHURCH STUFF-2.wav|This is why I didn't go into the tent.. Typical delinquency.
wavs/Kim Kitsuragi-ICE  ACELE CHURCH STUFF-33.wav|Wonderful,. Revachol really needed another cop-for-hire. Maybe later we can go and get some doughnuts?
wavs/Kim Kitsuragi-ICE  ACELE CHURCH STUFF-35.wav|Good call, detective,. You can lose your mind trying to mediate everything these delinquents come up with. Fate will take care of it for us.
wavs/Kim Kitsuragi-ICE  ACELE CHURCH STUFF-36.wav|Please officer, just finish your side-interview. We need to move on to the case at hand.
wavs/Kim Kitsuragi-ICE  ACELE CHURCH STUFF-37.wav|No. Conduct your side-interview and let's move on to the case at hand.
wavs/Kim Kitsuragi-ICE  ACELE CHURCH STUFF-43.wav|Okay. Now conduct your side-interview and let's move on to the case at hand.
wavs/Kim Kitsuragi-ICE  ACELE CHURCH STUFF-51.wav|As good a call as any.... Better not to have made one at all though. You'll lose your mind trying to mediate everything these delinquents come up with.
wavs/Kim Kitsuragi-ICE  ACELE CHURCH STUFF-165.wav|I can see there's more to this story, detective,. But you're not the first corrupt cop in the RCM.
wavs/Kim Kitsuragi-ICE  ACELE CHURCH STUFF-187.wav|A crab and a banger?
wavs/Kim Kitsuragi-ICE  ACELE CHURCH STUFF-192.wav|Like a crab, you say?
wavs/Kim Kitsuragi-ICE  EGGHEAD-585.wav|Oh no.. We're going to be in this church forever.
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-8.wav|Detective,
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-10.wav|What's my problem?
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-11.wav|You're a real piece of work, detective, you know that?
wavs/alternative-0-Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-11-0.wav|You're a real piece of work, Harry, you know that?
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-18.wav|Really? It's not your fault that you're down with racism or whatever you told that lorryman?
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-22.wav|It's not your fault that you subscribed to Measurehead's inane racial theories?
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-34.wav|It's not your fault that you buy into whatever conspiracies bug-chasing cryptofascists feed you?
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-40.wav|Apologizing would be a good start.
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-41.wav|Maybe it really isn't your fault. You might just be an irretrievable human catastrophe...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-42.wav|Let me ask you something...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-43.wav|What do you see when you look at me?
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-49.wav|Well, at least you're explicit about it. Most of the time people try to be polite.. You know what you did not say I am, though?
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-50.wav|Yeah, that's what most people say. But do you know what they don't say?
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-51.wav|That's what you're supposed to say, of course... But do you know what you didn't say?
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-52.wav|Be serious a moment, please...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-53.wav|You know, detective, one of your problems is that nothing ever seems to be your fault. Have you noticed that?
wavs/alternative-0-Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-53-0.wav|You know, Harry, one of your problems is that nothing ever seems to be your fault. Have you noticed that?
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-61.wav|Which I guess makes me the idiot for hoping you could be better... I mean, look at yourself...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-80.wav|I just don't understand. We had been making real progress toward solving the case...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-81.wav|You've been spinning your wheels here for how long? And what do you have to show for it?
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-82.wav|You've not just been unhelpful when it comes to solving the case, you've been an active hindrance to the investigation...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-83.wav|But now I'm afraid I just can't trust you.
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-84.wav|Well, I'm done waiting for you to get your shit together.
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-88.wav|Stop, STOP. You won't even call me by my actual title. It's always, 'Kim this, Kim that.' Has it even occurred to you how disrespectful that is?
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-89.wav|But, see, you can't, or you just refuse to, not that the difference really matters.
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-91.wav|For the sake of the investigation... I'll stay.
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-93.wav|No, you fucking asshole. This isn't a game and you're not the hero. You don't get infinite chances to do the right thing. That's not how the world works...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-94.wav|I'm staying because I have to protect the investigation from you...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-95.wav|Now, if you'll excuse me, I have some other matters to attend to. We'll meet again as usual in the morning. And detective...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-98.wav|Get your shit together, detective.
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-101.wav|God, no. I'm a detective, not a charity service for shambolic degenerates who won't help themselves...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-102.wav|Detective, enough. I don't want to hear about your degenerate ravings. I've heard plenty as it is. Just stop.
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-106.wav|You fucking asshole. I'm not here to be your loyal assistant, and I never have been...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-107.wav|Of course that's what you think, contrary to all evidence and experience. I'm not here for your sake...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-114.wav|I don't suppose anyone ever questions whether you belong here. No matter how badly you fuck up, no matter what a mess you make, you never stop being Revacholian...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-115.wav|People call me all sorts of things. But you know the one thing they never call me?
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-120.wav|I was born here. I grew up here. It's the only home I've ever known. And there's a good chance I'll die in the line of duty here, too.
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-121.wav|But, to most of my countrymen, I will always be some monkey fucker.
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-134.wav|I don't suppose anyone ever questions whether you belong here. Whatever your faults, you're a decent-enough detective. No one will ever doubt that you're a real Revacholian...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-135.wav|I don't suppose anyone ever questions whether you belong here. Whatever your faults, you're a solid detective. You're obviously Revacholian...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-140.wav|I see...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-144.wav|Yes, it does.
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-146.wav|In any case, I have some personal matters I'd like to get in order. If you don't object, I'm going to leave the rest of the day's investigation to you...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-149.wav|Try not to break anything while I'm gone. I'll see you in the morning, detective.
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-154.wav|What good times?
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-155.wav|If they don't mean anything, why do you say them?
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-158.wav|Don't fuck anything else up while I'm away.
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-161.wav|Nobody's ever said that to me before...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-163.wav|Well, good, because we are partners. Now, I have some personal matters I'd like to get in order. If you don't object, I'm going to leave the rest of the day's investigation to you...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-172.wav|A role to play in what?
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-175.wav|What kind of future are we talking about here?
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-180.wav|The world... is going to end...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-185.wav|Promise me something, detective: You won't tell anyone else what you just told me.
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-189.wav|Now, I... think I need to take care of some personal matters for a while. If you don't object, I'm going to leave the rest of the day's investigation to you...
wavs/Kim Kitsuragi-ICE  KIM RACISM FINAL TALK-192.wav|Detective, I'm serious. Have you considered what will happen to the RCM's reputation if one of our own starts going around talking about the end of the world? In an official capacity?
